               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12383,            0.058562,            0.028713,            0.017912,              0.0646,           0.0097061,            0.001798,             0.10108,            0.050661,            0.027101,              0.0802,              0.0022,              0.0022
                   1,            0.092023,            0.053841,            0.026641,             0.10852,             0.33099,            0.078376,            0.017487,            0.087501,            0.049013,            0.026514,            0.059455,           0.0044554,           0.0044554
                   2,            0.079713,            0.046653,            0.025911,             0.22336,             0.42604,             0.21813,            0.066423,            0.078437,            0.042654,            0.025928,            0.038665,           0.0066654,           0.0066654
                   3,            0.072512,            0.046384,            0.025587,             0.23355,             0.53524,             0.24966,            0.088368,            0.065623,            0.039065,            0.025835,             0.01783,           0.0088297,           0.0088297
                   4,            0.066889,            0.046384,            0.025178,             0.22991,             0.30967,             0.22693,            0.083133,            0.066431,            0.051182,            0.025795,            0.009604,            0.009604,            0.009604
                   5,            0.060545,            0.044836,            0.023917,             0.25552,              0.6335,             0.31634,              0.1184,            0.054411,            0.047714,             0.02702,            0.009604,            0.009604,            0.009604
                   6,            0.056593,            0.042619,            0.021437,             0.41998,             0.73262,             0.46461,             0.18067,            0.049423,            0.041857,            0.028923,            0.009505,            0.009505,            0.009505
                   7,             0.05486,            0.042898,            0.019405,             0.45438,             0.64705,             0.45474,             0.19307,            0.049588,            0.039779,            0.028644,            0.009406,            0.009406,            0.009406
                   8,            0.052992,            0.041878,            0.017672,             0.39218,             0.68129,              0.4262,             0.18128,            0.047224,            0.040148,            0.033682,            0.009307,            0.009307,            0.009307
                   9,            0.051159,            0.041309,            0.016267,             0.40585,             0.65809,             0.46601,             0.20899,            0.043303,            0.038106,             0.03353,            0.009208,            0.009208,            0.009208
                  10,            0.050273,            0.040466,            0.015158,             0.39683,             0.68844,             0.45058,             0.18391,            0.048591,            0.036806,            0.042068,            0.009109,            0.009109,            0.009109
                  11,            0.048214,            0.039455,            0.014134,             0.46786,             0.50121,             0.43316,             0.19335,            0.044739,            0.038212,            0.039119,             0.00901,             0.00901,             0.00901
                  12,             0.04815,            0.039031,            0.013666,             0.41294,             0.65649,             0.44811,             0.20564,            0.040829,            0.038171,            0.039111,            0.008911,            0.008911,            0.008911
                  13,            0.046795,            0.040075,            0.013018,             0.39278,             0.61883,             0.42468,             0.18964,            0.039563,            0.037163,            0.036598,            0.008812,            0.008812,            0.008812
                  14,            0.046338,            0.039367,             0.01182,             0.42659,             0.53952,             0.39705,              0.1754,             0.04108,            0.038305,            0.037314,            0.008713,            0.008713,            0.008713
                  15,            0.045657,            0.039039,            0.011399,             0.41839,              0.5202,             0.40173,             0.16507,            0.047081,            0.038043,            0.042218,            0.008614,            0.008614,            0.008614
                  16,            0.044827,            0.038462,            0.010637,             0.50021,             0.56642,             0.47592,             0.21358,            0.040137,            0.035881,            0.038182,            0.008515,            0.008515,            0.008515
                  17,             0.04425,            0.037568,            0.010759,             0.40885,             0.56329,             0.39934,             0.17261,            0.038692,            0.036843,            0.041543,            0.008416,            0.008416,            0.008416
                  18,            0.044134,            0.038814,            0.010175,             0.44782,              0.5673,             0.41902,             0.18127,            0.039248,            0.035091,            0.044913,            0.008317,            0.008317,            0.008317
                  19,            0.043226,            0.037641,            0.010011,             0.39872,             0.57809,             0.37174,             0.16781,            0.037947,             0.03481,            0.046386,            0.008218,            0.008218,            0.008218
                  20,            0.042974,            0.037596,           0.0091606,              0.4452,              0.5906,             0.41111,             0.17431,             0.04039,            0.036634,            0.041736,            0.008119,            0.008119,            0.008119
                  21,            0.043241,            0.036291,           0.0089616,             0.46787,             0.57767,             0.45203,             0.17613,            0.043202,            0.037142,            0.038847,             0.00802,             0.00802,             0.00802
                  22,            0.041332,            0.036822,           0.0084986,             0.41469,             0.57716,             0.43898,             0.20207,            0.038553,            0.035768,            0.038422,            0.007921,            0.007921,            0.007921
                  23,            0.041316,            0.036872,           0.0078737,              0.4355,              0.5445,             0.41443,             0.19144,            0.041833,            0.037777,             0.04606,            0.007822,            0.007822,            0.007822
                  24,            0.041805,             0.03651,           0.0081594,              0.4109,             0.54767,             0.40256,             0.16298,            0.041724,            0.037867,            0.048476,            0.007723,            0.007723,            0.007723
                  25,             0.03993,            0.036534,           0.0075992,             0.43092,             0.51331,              0.3788,              0.1699,            0.037822,            0.037777,            0.047998,            0.007624,            0.007624,            0.007624
                  26,            0.041059,            0.036691,           0.0073583,             0.42605,             0.57783,             0.40943,             0.18676,            0.037799,            0.037786,             0.05168,            0.007525,            0.007525,            0.007525
